start	end	dur	glosa
00:00.910	00:01.230	00:00.320	FÅR
00:01.830	00:02.020	00:00.190	OCH
00:04.390	00:04.570	00:00.180	GÅNG
00:06.560	00:07.130	00:00.570	OMRÅDE
00:07.360	00:07.470	00:00.110	(p-) grupp
00:08.150	00:08.340	00:00.190	FÅR
00:09.470	00:09.860	00:00.390	(2h)VARJE
00:10.130	00:10.420	00:00.290	MORGON
00:11.430	00:11.720	00:00.290	FÅR
00:12.920	00:13.610	00:00.690	(p-) hand-driva
00:14.560	00:15.150	00:00.590	KULLE
00:16.050	00:16.310	00:00.260	GRÄS
00:16.420	00:16.890	00:00.470	(p-) gräs
00:17.140	00:17.310	00:00.170	FÅR
00:18.990	00:19.600	00:00.610	HELA-DAGEN
00:20.990	00:21.390	00:00.400	(p-) hand-driva-samman
00:21.830	00:21.930	00:00.100	TILL 
00:24.810	00:25.330	00:00.520	TIDEN-SNURRAR
00:27.260	00:27.390	00:00.130	FÅR
00:28.020	00:28.690	00:00.670	LÅNG-TID
00:29.640	00:30.630	00:00.990	TRÅKIG
00:31.930	00:32.210	00:00.280	DAG
00:33.410	00:33.540	00:00.130	VARFÖR
00:33.580	00:33.870	00:00.290	INTE
00:37.110	00:37.400	00:00.290	SKRIKA
00:38.410	00:38.700	00:00.290	SKYNDA
00:39.540	00:39.840	00:00.300	ÄTA-UPP
00:40.170	00:40.540	00:00.370	FÅR
00:43.250	00:43.440	00:00.190	SKYNDA
00:43.560	00:43.880	00:00.320	(p-) folk-förflytta
00:44.130	00:44.340	00:00.210	HJÄLPA
00:44.600	00:45.070	00:00.470	(p-) folk-förflytta
00:45.130	00:45.860	00:00.730	FRAM (-h)
00:47.700	00:47.880	00:00.180	SKRATTA-klohänder
00:49.780	00:50.150	00:00.370	(g-) slå-händer-ihop
00:50.970	00:51.760	00:00.790	SKRATTA-klohänder
00:52.180	00:52.900	00:00.720	(g-) pu
00:53.200	00:53.590	00:00.390	DEPPIG
00:53.990	00:54.700	00:00.710	(p-) folk-förflytta
00:55.230	00:55.620	00:00.390	OM-IGEN
00:55.750	00:56.000	00:00.250	HÄNDA
00:56.120	00:56.420	00:00.300	SAMMA
00:57.670	00:57.950	00:00.280	(p-) folk-förflytta
00:58.170	00:58.380	00:00.210	HJÄLPA
00:58.520	00:58.970	00:00.450	INTE
00:58.970	00:59.600	00:00.630	(g-) pu
00:59.600	00:59.870	00:00.270	FINNS-INTE
01:00.360	01:00.640	00:00.280	(g-) pu
01:02.040	01:02.300	00:00.260	(2h-) EN
01:02.390	01:02.760	00:00.370	DAG
01:03.070	01:04.060	00:00.990	VINTER
01:05.060	01:05.500	00:00.440	DRIVA-SAMMAN
01:06.300	01:06.720	00:00.420	MÖRK
01:06.830	01:06.970	00:00.140	SNART
01:08.550	01:08.790	00:00.240	STARTA
01:08.980	01:09.140	00:00.160	SAMLA-IHOP
01:09.270	01:09.630	00:00.360	FÅR
01:09.710	01:09.930	00:00.220	(g-) kom
01:10.040	01:11.120	00:01.080	DRIVA-SAMMAN
01:11.260	01:11.430	00:00.170	PRECIS
01:11.580	01:11.760	00:00.180	FÅR
01:11.910	01:12.710	00:00.800	BRÄKA
01:14.150	01:14.700	00:00.550	SUDDIG
01:15.290	01:16.090	00:00.800	(p-) tass-gå
01:16.950	01:17.040	00:00.090	PEK
01:17.260	01:17.550	00:00.290	SKRIKA
01:17.930	01:18.060	00:00.130	(g-) vinka
01:18.250	01:18.510	00:00.260	HJÄLPA
01:19.540	01:20.150	00:00.610	HJÄLPA
01:20.690	01:21.250	00:00.560	(p-) folk-vimla
01:21.480	01:21.840	00:00.360	STRUNTA-I
01:22.250	01:22.880	00:00.630	(p-) folk-vimla
01:24.990	01:25.490	00:00.500	OM-IGEN
01:26.410	01:26.570	00:00.160	STRUNTA-I
01:26.690	01:26.880	00:00.190	HJÄLPA
01:26.980	01:27.320	00:00.340	FUT-NEG
01:27.560	01:28.350	00:00.790	(p-) två-ben-gå-runt
01:28.610	01:28.880	00:00.270	HJÄLPA
01:29.250	01:29.970	00:00.720	(g-) pu
01:30.560	01:30.750	00:00.190	VAD
01:30.830	01:31.150	00:00.320	HÄNDA
01:31.600	01:31.840	00:00.240	ÄTA-UPP
01:32.670	01:33.070	00:00.400	FÅR
01:33.210	01:33.460	00:00.250	(g-) pu
