start	end	dur	glosa
00:00.910	00:01.230	00:00.320	FÅR
00:01.500	00:01.710	00:00.210	POJKE
00:01.830	00:02.020	00:00.190	OCH
00:02.230	00:02.820	00:00.590	VARG
00:04.170	00:04.290	00:00.120	EN
00:04.390	00:04.570	00:00.180	GÅNG
00:04.780	00:05.510	00:00.730	LÄNGE-SEDAN
00:05.600	00:05.780	00:00.180	EN
00:05.850	00:06.270	00:00.420	(fs-) BY
00:06.560	00:07.130	00:00.570	OMRÅDE
00:07.360	00:07.470	00:00.110	PEK
00:07.620	00:07.750	00:00.130	FINNS
00:07.850	00:07.990	00:00.140	EN
00:08.150	00:08.340	00:00.190	FÅR
00:08.610	00:08.970	00:00.360	POJKE
00:09.030	00:09.150	00:00.120	PEK
00:09.250	00:09.350	00:00.100	ALLTID
00:09.470	00:09.860	00:00.390	(2h)VARJE
00:10.130	00:10.420	00:00.290	MORGON
00:10.930	00:11.140	00:00.210	(fs-) BY
00:11.200	00:11.310	00:00.110	POSS
00:11.430	00:11.720	00:00.290	FÅR
00:11.920	00:12.030	00:00.110	ALLTID
00:12.130	00:12.690	00:00.560	HÄMTA
00:12.920	00:13.610	00:00.690	(p-) hand-driva
00:13.710	00:14.210	00:00.500	UPP
00:14.270	00:14.430	00:00.160	EN
00:14.560	00:15.150	00:00.590	KULLE
00:15.270	00:15.390	00:00.120	PEK
00:15.480	00:15.590	00:00.110	FINNS
00:15.640	00:15.990	00:00.350	GOTT-OM
00:16.050	00:16.310	00:00.260	GRÄS
00:16.420	00:16.890	00:00.470	(p-) gräs
00:17.140	00:17.310	00:00.170	FÅR
00:17.410	00:17.510	00:00.100	ALLTID
00:17.570	00:18.890	00:01.320	(p-) käft-beta
00:18.990	00:19.600	00:00.610	HELA-DAGEN
00:19.770	00:20.430	00:00.660	KVÄLL
00:20.540	00:20.750	00:00.210	PEK
00:21.000	00:21.170	00:00.170	(p-) hand-driva-samman
00:21.230	00:21.700	00:00.470	TILLBAKA
00:21.830	00:21.930	00:00.100	TILL
00:22.120	00:22.390	00:00.270	(fs-) BY
00:22.660	00:23.130	00:00.470	OMRÅDE
00:23.920	00:24.160	00:00.240	IBLAND
00:24.220	00:24.640	00:00.420	ROLIGT
00:24.810	00:25.330	00:00.520	TIDEN-SNURRAR
00:25.700	00:26.050	00:00.350	IBLAND
00:26.280	00:27.110	00:00.830	TRÅKIGT
00:27.260	00:27.390	00:00.130	FÅR
00:27.470	00:27.890	00:00.420	(p-) käft-beta
00:28.020	00:28.690	00:00.670	LÅNG-TID
00:28.820	00:28.940	00:00.120	POJKE
00:29.050	00:29.520	00:00.470	GÅ-RUNT
00:29.640	00:30.630	00:00.990	TRÅKIG
00:31.650	00:31.790	00:00.140	EN
00:31.930	00:32.210	00:00.280	DAG
00:32.370	00:32.600	00:00.230	POJKE
00:32.680	00:33.230	00:00.550	PEK
00:33.410	00:33.540	00:00.130	VARFÖR
00:33.580	00:33.870	00:00.290	INTE
00:34.140	00:34.400	00:00.260	DRABBAS
00:34.420	00:34.700	00:00.280	PEK
00:34.870	00:35.170	00:00.300	(fs-) BY
00:35.380	00:35.600	00:00.220	BO
00:35.860	00:36.140	00:00.280	PEK
00:36.770	00:36.860	00:00.090	PEK
00:37.110	00:37.400	00:00.290	SKRIKA
00:37.580	00:38.310	00:00.730	VARG
00:38.410	00:38.700	00:00.290	SKYNDA
00:39.000	00:39.270	00:00.270	VARG
00:39.360	00:39.450	00:00.090	ÄTA
00:39.540	00:39.840	00:00.300	ÄTA-UPP
00:39.910	00:40.130	00:00.220	POSS
00:40.170	00:40.540	00:00.370	FÅR
00:40.750	00:41.430	00:00.680	VARG
00:41.690	00:42.080	00:00.390	PEK
00:42.140	00:42.220	00:00.080	PEK
00:42.330	00:42.460	00:00.130	MAN
00:42.470	00:42.670	00:00.200	(fs-) BY
00:42.810	00:42.960	00:00.150	HÖRA
00:42.960	00:43.120	00:00.160	--
00:43.250	00:43.440	00:00.190	SKYNDA
00:43.560	00:43.880	00:00.320	(p-) folk-förflytta
00:44.130	00:44.340	00:00.210	HJÄLPA
00:44.600	00:45.070	00:00.470	(p-) folk-förflytta
00:45.130	00:45.860	00:00.730	FRAM (-h)
00:46.130	00:46.320	00:00.190	VARG
00:46.450	00:47.220	00:00.770	FINNS-INTE
00:47.430	00:47.560	00:00.130	POJKE
00:47.700	00:47.880	00:00.180	SKRATTA-klohänder
00:48.140	00:48.620	00:00.480	(g-) klappa knä
00:48.910	00:49.030	00:00.120	PEK
00:49.120	00:49.390	00:00.270	DRABBAS
00:49.520	00:49.710	00:00.190	BARA
00:49.780	00:50.150	00:00.370	(g-) slå-händer-ihop
00:50.320	00:50.820	00:00.500	SKRATTA
00:50.970	00:51.760	00:00.790	SKRATTA-klohänder
00:51.940	00:52.180	00:00.240	(fs-) BY
00:52.180	00:52.900	00:00.720	(g-) pu
00:53.200	00:53.590	00:00.390	DEPPIG
00:53.700	00:53.910	00:00.210	PEK
00:53.990	00:54.700	00:00.710	(p-) folk-förflytta
00:55.230	00:55.620	00:00.390	OM-IGEN
00:55.750	00:56.000	00:00.250	HÄNDA
00:56.120	00:56.420	00:00.300	SAMMA
00:56.560	00:57.470	00:00.910	OM-IGEN-PERIOD
